strategy,fast,slow,ma_type,hold,n_tickers,avg_net,win_rate,t_stat,p_value
EMA20x100_H10,20,100,EMA,10,854,0.0028392890806336704,0.49765807962529274,1.4083812510639564,0.1593825772362657
EMA50x200_H3,50,200,EMA,3,700,0.001795138042304629,0.5314285714285715,1.4044417547255088,0.16063152535047825
SMA5x20_H3,5,20,SMA,3,922,0.0006719677374145048,0.5249457700650759,1.342525922868951,0.17975633286385734
EMA10x200_H10,10,200,EMA,10,853,0.0031310304504931505,0.4912075029308324,1.2916391409029406,0.196832420929072
EMA50x100_H5,50,100,EMA,5,784,0.0019864699625301153,0.5191326530612245,1.278385323905581,0.20149240144587094
EMA20x200_H20,20,200,EMA,20,807,0.004684448535608147,0.506815365551425,1.2717553580173695,0.20382688366642232
EMA50x200_H20,50,200,EMA,20,700,0.00408773425052763,0.5285714285714286,1.268964476893372,0.20487611719361207
EMA20x200_H5,20,200,EMA,5,807,0.002862638616806675,0.483271375464684,1.2107547053921732,0.22634433618727315
SMA20x50_H5,20,50,SMA,5,894,0.001682052913173619,0.47315436241610737,1.2093477800859544,0.22684933276512798
EMA50x100_H10,50,100,EMA,10,784,0.003877667621713251,0.4846938775510204,1.208134269853935,0.22736037458608893
SMA20x50_H10,20,50,SMA,10,894,0.002068536429534422,0.47762863534675615,1.2038231416907275,0.2289769465704432
SMA20x50_H3,20,50,SMA,3,894,0.001083383790484818,0.4608501118568233,1.1820812524884639,0.23748812644215594
EMA10x20_H1,10,20,EMA,1,919,0.0004650580827690358,0.4722524483133841,1.1314820256331368,0.25814775173170607
EMA5x200_H10,5,200,EMA,10,886,0.0025069879108867345,0.5022573363431151,1.0613356121128603,0.28882694945429466
SMA10x100_H5,10,100,SMA,5,763,0.0012460531957809982,0.4836173001310616,1.0048133757730897,0.31530568852918495
SMA20x100_H5,20,100,SMA,5,624,0.001647107400239482,0.4823717948717949,0.9890597308898955,0.3230178892440153
EMA20x200_H1,20,200,EMA,1,807,0.0006749683293763485,0.4646840148698885,0.9354879045359312,0.34981710486707496
SMA50x100_H1,50,100,SMA,1,484,0.0006384026108632958,0.5351239669421488,0.9277898109622389,0.3539800025023837
SMA10x20_H5,10,20,SMA,5,922,0.0006104029425387151,0.455531453362256,0.8026374898212784,0.4223913594985921
SMA5x50_H3,5,50,SMA,3,912,0.0006676969964564784,0.49890350877192985,0.7972188098658535,0.42553169179937766
EMA20x200_H10,20,200,EMA,10,807,0.0019294022123504,0.4770755885997522,0.6940707050002626,0.48783786003051577
EMA5x200_H5,5,200,EMA,5,886,0.0008938447119946004,0.49887133182844245,0.6613009201794494,0.5085914737812032
EMA5x100_H1,5,100,EMA,1,907,0.0003039449584636721,0.4807056229327453,0.6522472818007674,0.5144071034223225
SMA10x100_H20,10,100,SMA,20,763,0.0019263958581273984,0.44954128440366975,0.5028465769344894,0.6152174439591552
SMA20x100_H20,20,100,SMA,20,624,0.0016007950750759408,0.46474358974358976,0.5005513043211537,0.6168637184497192
SMA10x20_H3,10,20,SMA,3,922,0.00027897399097540705,0.5010845986984815,0.4717147535056264,0.6372421335495074
EMA50x200_H5,50,200,EMA,5,700,0.0005523983840191409,0.4714285714285714,0.3622216728899457,0.7172958666995854
EMA10x200_H1,10,200,EMA,1,853,0.00018861546137415844,0.46658851113716293,0.32644622591007866,0.7441669395954522
EMA5x200_H1,5,200,EMA,1,886,0.00016457743708722336,0.4683972911963883,0.270359694399144,0.7869465797119888
EMA50x100_H1,50,100,EMA,1,784,0.000176285356241904,0.45790816326530615,0.2495820763649259,0.8029760210286332
SMA20x100_H3,20,100,SMA,3,624,0.00029221261365133865,0.5016025641025641,0.2391599776717659,0.8110601902124501
EMA50x200_H10,50,200,EMA,10,700,0.0003349082017321368,0.48428571428571426,0.13576548428273433,0.892045765881784
SMA5x20_H1,5,20,SMA,1,922,3.381137120850646e-05,0.4598698481561822,0.09773119919027425,0.9221670049472357
SMA20x100_H1,20,100,SMA,1,624,-4.83805434349365e-05,0.47596153846153844,-0.0716252903072324,0.9429230998382367
SMA10x20_H1,10,20,SMA,1,922,-6.292937378274197e-05,0.4511930585683297,-0.18636045707536975,0.8522031390885916
EMA50x200_H1,50,200,EMA,1,700,-0.0001825360474679042,0.48428571428571426,-0.2655615509495834,0.7906552016073229
EMA5x20_H1,5,20,EMA,1,922,-0.00011342807139895114,0.46203904555314534,-0.30369390956374054,0.7614296914516947
SMA50x100_H3,50,100,SMA,3,484,-0.00038485019874132776,0.512396694214876,-0.31026713434276737,0.7564916535354367
SMA10x200_H5,10,200,SMA,5,424,-0.00046361971770027055,0.45990566037735847,-0.32698856280216415,0.7438382809344555
