strategy,hold_days,regime,cap,train_n,train_mean,train_t,test_n,test_mean,test_t,train_significant,test_significant,both_significant,direction_match
BelowEMA200,20,RANGE,LARGE,250617,0.02403072719269037,36.36389856886034,362462,0.02407647471737715,20.906786794871927,True,True,True,True
BelowEMA200,20,RANGE,MID,250359,0.0020485594935408477,3.548065784862293,394802,0.9376866582416289,3.85580522607572,True,True,True,True
BelowEMA200,20,RANGE,SMALL,196289,0.01642631655896453,23.680976217170866,319595,0.012767804580900924,17.4514435998017,True,True,True,True
BelowEMA200,20,RANGE,ALL,697265,0.013997101982942588,37.726223231706506,1076859,0.35567135691037977,3.989107340393775,True,True,True,True
BelowEMA200,20,ALL,LARGE,278813,0.023467728971739744,38.01570033708601,417543,0.02582176827733683,25.34280631855527,True,True,True,True
BelowEMA200,20,ALL,MID,279910,0.0012992974406723313,2.3829983190874056,451691,0.8221935036429785,3.8680531970048797,False,True,False,True
BelowEMA200,20,ALL,SMALL,219798,0.016355889834616916,25.763679029201906,369705,0.013665392677147467,20.818442924856736,True,True,True,True
BelowEMA200,20,ALL,ALL,778521,0.013489406372192137,39.014093873647056,1238939,0.31253457066532697,4.032879558468557,True,True,True,True
BullishRibbon,1,BULL,LARGE,27730,-0.0002719445768342945,-1.745657037517906,16291,-0.0005549700826581926,-1.3433091234212846,False,False,False,True
BullishRibbon,1,BULL,MID,21096,-0.0006513674213819446,-2.7237936527292326,13259,-0.0011235910688886272,-2.701038073133789,False,False,False,True
BullishRibbon,1,BULL,SMALL,21374,-0.0004785545622895552,-2.852121017985422,15734,-0.0010082536121099434,-4.16220745607421,False,True,False,True
BullishRibbon,1,BULL,ALL,70200,-0.0004488731545792798,-4.174669785796086,45284,-0.000878954463649783,-4.189856415302331,True,True,True,True
BullishRibbon,1,BEAR,LARGE,6454,0.00395542975692042,8.857478451043558,8105,-0.0033976563932923906,-7.607255738826748,True,True,True,False
BullishRibbon,1,BEAR,MID,4869,0.0007100120959189901,1.1859100383371106,6753,-0.001470760017545723,-2.4099190993928223,False,False,False,False
BullishRibbon,1,BEAR,SMALL,4435,0.0007979155835692462,1.597405738378829,8523,-0.001332972526088031,-3.487027251259514,False,True,False,False
BullishRibbon,1,BEAR,ALL,15758,0.0020639769107325522,6.974159941931638,23381,-0.002088489470337855,-7.652100583339585,True,True,True,False
BullishRibbon,1,RANGE,LARGE,271274,0.00037140893373877656,6.205166187354953,407973,0.0009111361043426336,10.785551314873706,True,True,True,True
BullishRibbon,1,RANGE,MID,210605,-0.000246889869748327,-2.5711118616683324,349918,0.00024839058199174947,2.6534361810027436,False,False,False,False
BullishRibbon,1,RANGE,SMALL,208800,-0.00016690055287440586,-2.2007072411805617,391552,1.0045911555242423e-05,0.19370976213279256,False,False,False,False
BullishRibbon,1,RANGE,ALL,690679,2.0137445372641264e-05,0.45769734292615205,1149443,0.0004024286217999888,8.946523448897032,False,True,False,True
BullishRibbon,1,ALL,LARGE,305458,0.00038873071789444794,6.964281672578416,432369,0.0007751247365392935,9.49294661504884,True,True,True,True
BullishRibbon,1,ALL,MID,236570,-0.0002632643160366503,-2.9592551599679138,369930,0.00016783337195823105,1.8548532866846228,False,False,False,False
BullishRibbon,1,ALL,SMALL,234609,-0.00017705503642836932,-2.534874420463241,415809,-5.601439702244986e-05,-1.1135257280589927,False,False,False,True
BullishRibbon,1,ALL,ALL,776637,1.9213304723298817e-05,0.47134172801109153,1218108,0.0003069803466439415,7.061103807776328,False,True,False,True
BullishRibbon,5,BULL,LARGE,27730,-0.0018657966365219875,-5.9234447943257225,16291,0.008796665166001206,8.812880135982846,True,True,True,False
BullishRibbon,5,BULL,MID,21096,-0.004389266056814405,-7.788039554143917,13259,0.007062613694424223,7.651490010147543,True,True,True,False
BullishRibbon,5,BULL,SMALL,21374,-0.0009229684017152528,-2.4571183703650847,15734,0.0038015678803462343,7.331777113955084,False,True,False,False
BullishRibbon,5,BULL,ALL,70200,-0.0023370658701363702,-9.765558133799043,45284,0.0065533861015604645,13.532063242511429,True,True,True,False
BullishRibbon,5,BEAR,LARGE,6454,0.013828812476875984,16.8664670522586,8105,0.0010997056162382916,1.0696594111395021,True,False,False,True
BullishRibbon,5,BEAR,MID,4869,0.004189107349222093,2.5321598845636912,6753,-0.001134773882021207,-1.0084193742287484,False,False,False,False
BullishRibbon,5,BEAR,SMALL,4435,0.004577664261588277,4.6673262589796085,8523,-0.003655506424090578,-4.60717921246031,True,True,True,False
BullishRibbon,5,BEAR,ALL,15758,0.008246596040694503,12.271839415120832,23381,-0.0012790682715966754,-2.273766677899626,True,False,False,False
BullishRibbon,5,RANGE,LARGE,271274,0.0007626993863509732,5.446172338209881,401854,0.004415942480296259,21.13888264258367,True,True,True,True
