strategy,hold,context1,context2,t_stat,mean_return,type
Momentum_60d_Pos,10,RANGE,LARGE,28.417342411895085,0.0091824438490775,REGIME
Near52High_LowVol_PosMom,10,ALL,LARGE,28.177380812722863,0.005606308828724,REGIME
Momentum_20d_Pos,10,RANGE,LARGE,28.05791890853324,0.009350477297929,REGIME
AboveEMA200,20,BULL,ALL,28.045133029917466,0.0254693885187567,REGIME
BelowEMA200,10,BEAR,MID,27.858734634990185,0.0320403620826767,REGIME
Near52High_LowVol_PosMom,10,RANGE,LARGE,27.725493067586264,0.0056337365852531,REGIME
Near52High_LowVol,10,ALL,LARGE,27.670021368148756,0.0051356149889444,REGIME
RSI_Oversold,10,BEAR,MID,27.582919609524048,0.0421176682117947,REGIME
BelowEMA200,10,BULL,ALL,27.295542054304917,0.0282847486557051,REGIME
Near52High_LowVol,10,RANGE,LARGE,27.295503494245512,0.0051985785468524,REGIME
HighVol,10,BULL,SMALL,27.16287930417295,0.0154364076012341,REGIME
BearishRibbon,5,BULL,ALL,27.14936223427632,0.0161563926494805,REGIME
Momentum_20d_Pos,10,BULL,ALL,27.105487912830785,0.020607474545129,REGIME
RSI_Extreme_Oversold,5,BEAR,LARGE,27.003959669254616,0.0318151782775575,REGIME
BB_Narrow,20,RANGE,LARGE,26.91362834761794,0.0200910511285671,REGIME
HighVol,5,ALL,LARGE,26.81599649963652,0.0055057512214774,REGIME
Near52High_LowVol_PosMom,5,RANGE,ALL,26.750854549522145,0.0017910885596306,REGIME
Near52High_LowVol,5,RANGE,ALL,26.748199594145245,0.0016370952049775,REGIME
HighVol,20,BULL,LARGE,26.38477362913643,0.0486990543802207,REGIME
Momentum_5d_Pos,10,ALL,LARGE,26.11341556070116,0.0089009912137047,REGIME
BearishRibbon,10,ALL,LARGE,26.07078372796701,0.0113391002172052,REGIME
BearishRibbon,20,ALL,LARGE,26.00369062072209,0.0208354292532071,REGIME
RSI_Extreme_Oversold,5,BEAR,SMALL,25.98490348942405,0.0326402270324007,REGIME
BelowEMA200,10,ALL,LARGE,25.87766617526045,0.0144215770451736,REGIME
Momentum_20d_Pos,5,ALL,LARGE,25.6979784070171,0.005078695186286,REGIME
Near52High_LowVol_PosMom,5,ALL,ALL,25.66708047345452,0.0016919842721982,REGIME
RSI_Overbought,10,BULL,ALL,25.445016581994,0.0186792453271985,REGIME
Far_From_High,20,ALL,LARGE,25.37974309682514,0.0331301205376428,REGIME
BelowEMA200,20,ALL,LARGE,25.34280631855527,0.0258217682773368,REGIME
RSI_Overbought,20,ALL,LARGE,25.32208202483299,0.024851916085581,REGIME
Near52High_LowVol,5,ALL,ALL,25.311199448675875,0.0015141110750203,REGIME
Oversold_After2Down,10,BEAR,MID,25.08949084896224,0.0512275123403462,REGIME
HighVol,5,BULL,LARGE,24.96057603910993,0.0184003763182557,REGIME
After2Down,5,BEAR,LARGE,24.956185360953395,0.036244130056972,REGIME
AboveEMA200,5,ALL,LARGE,24.89388274232577,0.0034804601619552,REGIME
After2Down,10,BEAR,MID,24.75300514192776,0.0403894008071501,REGIME
Momentum_20d_Neg,10,BULL,ALL,24.60769016603465,0.0304507485950642,REGIME
HighVol,10,RANGE,LARGE,24.596055071727644,0.0088940919384593,REGIME
RSI_Overbought,20,BULL,SMALL,24.53502426510965,0.0224938573530242,REGIME
BelowEMA200,5,BULL,ALL,24.496334126105616,0.0171174575920108,REGIME
HighVol,20,BULL,MID,24.49445356757533,0.0396066497361026,REGIME
Momentum_5d_Pos,5,BULL,ALL,24.43976840103998,0.0110996940178315,REGIME
ZScore_Low,20,ALL,LARGE,24.3678087038916,0.0289109811947204,REGIME
BB_Below_Lower,20,ALL,LARGE,24.3678087038916,0.0289109811947204,REGIME
Far_From_High,5,ALL,LARGE,24.327643201296823,0.008526066599352,REGIME
Momentum_20d_Pos,5,BULL,ALL,24.24547244308665,0.0115938339108482,REGIME
Momentum_5d_Neg,20,ALL,LARGE,24.098040371414147,0.0213524268506239,REGIME
After2Down,20,ALL,ALL,24.08484769901467,0.0160292255344989,REGIME
After2Down,10,BEAR,SMALL,24.07976518496413,0.0331754064721875,REGIME
After2Down,5,BEAR,MID,23.982497584090414,0.0273257099775807,REGIME
BearishRibbon,1,BEAR,ALL,23.92382219408513,0.0049910715415435,REGIME
Momentum_20d_Neg,1,BEAR,ALL,23.814251189668923,0.0050630543356581,REGIME
Oversold_After2Down,5,BEAR,MID,23.63263829029868,0.0352540486595248,REGIME
Momentum_20d_Neg,10,ALL,LARGE,23.55199328249539,0.010420173820947,REGIME
After3Down,10,BEAR,LARGE,23.535620440214167,0.0539563766432931,REGIME
Momentum_5d_Pos,10,BULL,SMALL,23.404544616055624,0.013559162692394,REGIME
RSI_Extreme_Oversold,1,BEAR,LARGE,23.125258172543127,0.0187068850746297,REGIME
Momentum_20d_Neg,5,BEAR,MID,23.00598268218868,0.0184640558035781,REGIME
Momentum_5d_Neg,1,BEAR,ALL,22.917202474312028,0.004524133068176,REGIME
Oversold_After2Down,20,BEAR,ALL,22.85051065260242,0.0316657444645482,REGIME
RSI_Extreme_Oversold,10,BEAR,ALL,22.779168018618268,0.0565917616315068,REGIME
BearishRibbon,5,BEAR,MID,22.731710053249447,0.0181882770525616,REGIME
BelowEMA200,1,BEAR,ALL,22.728145618743884,0.0051236804503025,REGIME
BearishRibbon,20,BULL,MID,22.728087068491284,0.0464594144091863,REGIME
Momentum_20d_Pos,20,BULL,MID,22.6716926310937,0.0373345390347017,REGIME
Momentum_60d_Pos,5,ALL,LARGE,22.55625330127906,0.0044607477193683,REGIME
After2Down,10,ALL,LARGE,22.54818786773128,0.0134450172249705,REGIME
BullishRibbon,5,ALL,LARGE,22.426500502607222,0.0045203137494801,REGIME
HighVol,5,BEAR,MID,22.408878731873845,0.017435973134456,REGIME
AboveEMA200,5,RANGE,LARGE,22.260111943069017,0.003225870133204,REGIME
BullishRibbon,5,ALL,ALL,22.23306752393012,0.0021843854837906,REGIME
After3Down,1,BEAR,MID,22.22155346605533,0.0198816257254043,REGIME
HighVol,10,BULL,LARGE,22.189143927318167,0.0326114210211244,REGIME
Momentum_20d_Pos,20,BULL,LARGE,22.15878509397514,0.0451112992562143,REGIME
Oversold_After2Down,1,BEAR,LARGE,22.158699127583663,0.0161511240655312,REGIME
BB_Narrow,10,BULL,ALL,22.09547684669505,0.0314441753200148,REGIME
After3Down,10,BEAR,SMALL,22.00133251191657,0.0388214636608491,REGIME
After2Down,1,BEAR,ALL,21.99443181513474,0.0087293551571433,REGIME
Momentum_5d_Pos,20,BULL,MID,21.98258576624789,0.0373428000923947,REGIME
BelowEMA200,5,BEAR,MID,21.860957923297384,0.0186362993378196,REGIME
RSI_Overbought,20,RANGE,LARGE,21.814350154292352,0.0237000270948718,REGIME
After2Down,10,ALL,ALL,21.80545531165686,0.0106848744127808,REGIME
Momentum_5d_Pos,5,ALL,LARGE,21.75490150678509,0.0042485207555297,REGIME
BearishRibbon,5,BULL,SMALL,21.7171447793029,0.0108537803377779,REGIME
