category,strategy,hold_period,original_t_stat,train_mean_return,train_n_samples,train_t_stat,train_sharpe,train_p_value,test_mean_return,test_n_samples,test_t_stat,test_sharpe,test_p_value,degradation_pct,t_stat_preserved
XSECTION,XSMom120_BotDecile_H20,20,3.8994630305388,0.0016939879048302213,653460,8.582962212367525,0.16854969332720868,0.0,0.0783763692247257,1256060,2.947964998888473,0.04175585689535518,0.003198791625103503,65.65329164981483,False
VOL_REGIME,HighVolRegime_H1,1,8.611097094091885,-4.2652101097230174e-05,759500,-0.9337918480422162,-0.01700930072412499,0.35041157224992925,0.00041821352910736764,1344032,8.82527248204317,0.12084358175811079,0.0,-845.1006132197658,True
VOL_REGIME,VolSpike2x_H1,1,5.096177610613977,-4.2652101097230174e-05,759500,-0.9337918480422162,-0.01700930072412499,0.35041157224992925,0.00041821352910736764,1344032,8.82527248204317,0.12084358175811079,0.0,-845.1006132197658,True
RANGE_PATTERN,InsideDay_H1,1,11.769289255505068,-4.2652101097230174e-05,759500,-0.9337918480422162,-0.01700930072412499,0.35041157224992925,0.00041821352910736764,1344032,8.82527248204317,0.12084358175811079,0.0,-845.1006132197658,True
RANGE_PATTERN,OutsideDay_H1,1,5.687469578140294,-4.2652101097230174e-05,759500,-0.9337918480422162,-0.01700930072412499,0.35041157224992925,0.00041821352910736764,1344032,8.82527248204317,0.12084358175811079,0.0,-845.1006132197658,True
RANGE_PATTERN,OutsideDayUp_H1,1,-9.119974432893727,-4.2652101097230174e-05,759500,-0.9337918480422162,-0.01700930072412499,0.35041157224992925,0.00041821352910736764,1344032,8.82527248204317,0.12084358175811079,0.0,-845.1006132197658,True
RANGE_PATTERN,InsideDay_H3,3,13.101637802736755,0.00023460827561739647,748332,2.8434723312126677,0.05217976497304055,0.0044626092370625425,0.012728727661256033,1332271,1.1305800675314566,0.015549101823786143,0.2582320844148456,60.23945599466083,False
RANGE_PATTERN,OutsideDay_H3,3,8.141171888453533,0.00023460827561739647,748332,2.8434723312126677,0.05217976497304055,0.0044626092370625425,0.012728727661256033,1332271,1.1305800675314566,0.015549101823786143,0.2582320844148456,60.23945599466083,False
RANGE_PATTERN,OutsideDayUp_H3,3,-5.829136634281696,0.00023460827561739647,748332,2.8434723312126677,0.05217976497304055,0.0044626092370625425,0.012728727661256033,1332271,1.1305800675314566,0.015549101823786143,0.2582320844148456,60.23945599466083,False
RANGE_PATTERN,InsideDay_H5,5,15.895240066119564,0.00043090498353569063,738187,4.012265380122758,0.07413217197132832,6.014475896454208e-05,0.026638803892484898,1321004,1.569454155243914,0.02167688323628204,0.11654239329458127,60.883590526709,False
