sector,strategy,hold,n,mean,t_stat,significant
TECH,RSI_Oversold,fwd_20,868,0.01721585219997069,4.609394725012416,True
TECH,Near52High,fwd_5,811,0.0003379544969467312,0.19814235336181316,False
TECH,Near52High,fwd_20,750,0.016812090900123495,4.697030109644526,True
TECH,LowVol,fwd_5,1067,0.007387017308871662,4.142243321489087,True
TECH,LowVol,fwd_20,1033,0.022436314336864344,6.098427785744147,True
TECH,Momentum_Pos,fwd_5,4737,0.0034213570344666976,4.293938190472492,True
TECH,Momentum_Pos,fwd_20,4611,0.017062440319283077,10.46173213670607,True
TECH,Oversold_LowVol,fwd_5,75,0.019074998365433374,2.950670873691036,False
TECH,Oversold_LowVol,fwd_20,70,0.0036666755069517617,0.351423475016758,False
TECH,Near52High_LowVol,fwd_5,303,0.00027153921751002226,0.10018830246064182,False
TECH,Near52High_LowVol,fwd_20,288,0.008813433070904327,1.5582671871832694,False
UTIL,AboveEMA200,fwd_5,7467,0.0012761469131338868,4.186039254714028,True
UTIL,AboveEMA200,fwd_20,7287,0.005906117672605842,10.316751042998408,True
UTIL,RSI_Oversold,fwd_5,756,0.005323691607787577,5.455159002023849,True
UTIL,RSI_Oversold,fwd_20,690,0.011709436427676323,4.766227577564091,True
UTIL,Near52High,fwd_5,2012,-0.002400690463596986,-4.40921974498278,True
UTIL,Near52High,fwd_20,1925,-0.001462826645473849,-1.5922670750124088,False
UTIL,LowVol,fwd_5,1395,0.0022997671796370256,3.3699200661923494,True
UTIL,LowVol,fwd_20,1309,0.014141828432024594,10.523176113361178,True
UTIL,Momentum_Pos,fwd_5,5450,0.0014875518702026976,4.121362148870312,True
UTIL,Momentum_Pos,fwd_20,5372,0.00813118851038057,12.797190168947855,True
UTIL,Oversold_LowVol,fwd_5,103,0.0059589099380346604,3.5658040465710137,True
UTIL,Oversold_LowVol,fwd_20,92,0.03341109371542632,4.904279659894098,True
UTIL,Near52High_LowVol,fwd_5,741,-0.0025662135616516266,-2.8778666153442085,False
UTIL,Near52High_LowVol,fwd_20,704,0.0014744044335845555,0.8929326909030426,False
