strategy,lookback,hold,threshold,n_tickers,avg_gross,avg_net,win_rate,t_stat,p_value
Mom20_H20_T9,20,20,0.9,495,-0.003935853899407846,-0.00435120743476138,0.4888888888888889,-1.349349079112733,0.17784295317833435
Mom5_H2_T30,5,2,0.7,500,-1.862113402484425e-05,-0.00044542113402484416,0.46,-1.4126196792623589,0.15839095691729826
Mom5_H20_T5,5,20,0.95,476,-0.004774976118036066,-0.005159009731481446,0.5315126050420168,-1.4178530992373983,0.15688932101498004
Mom3_H1_T5,3,1,0.95,473,-0.00022443502963716703,-0.0006506506744574631,0.4503171247357294,-1.4238697559295852,0.15514490066668174
Mom20_H15_T9,20,15,0.9,494,-0.004024307273457767,-0.004422080552809994,0.4433198380566802,-1.455782928263911,0.14608912751318537
Mom10_H3_T30,10,3,0.7,500,-0.0002502082326104804,-0.0006702082326104806,0.426,-1.5072635356566395,0.13237592053709174
Mom5_H2_T9,5,2,0.9,500,-0.0007825354443025982,-0.0012113354443025984,0.416,-1.579660506735822,0.11481828244129642
Mom20_H30_T5,20,30,0.95,469,-0.008114375713379848,-0.008531006843443814,0.5074626865671642,-1.6175524456105226,0.10643284750297746
Mom5_H3_T30,5,3,0.7,500,-0.00021984941290748272,-0.0006436494129074828,0.436,-1.6339106675198958,0.10290832395195168
Mom3_H5_T9,3,5,0.9,498,-0.001563959638897043,-0.001984039960182184,0.44779116465863456,-1.6637953967158092,0.0967836747088485
Mom3_H2_T19,3,2,0.8,497,-0.00017174835498660602,-0.000597502882149584,0.4426559356136821,-1.681302333619622,0.09333370963842431
Mom15_H5_T30,15,5,0.7,500,-0.0008126137676929578,-0.001238413767692958,0.4,-1.6828458249773972,0.09303046214566724
Mom90_H1_T30,90,1,0.7,490,-0.0004382575737010005,-0.0008547881859458984,0.2653061224489796,-1.6934855285323787,0.09099992874857692
Mom5_H10_T9,5,10,0.9,499,-0.002520251281380509,-0.0029264637062302082,0.5130260521042084,-1.69361906835347,0.09096300692767581
Mom1_H2_T9,1,2,0.9,500,-0.000499755029042645,-0.000910955029042645,0.438,-1.7346235015510794,0.08342501158452001
Mom15_H20_T19,15,20,0.8,500,-0.004470417335847286,-0.004900817335847285,0.464,-1.769819701225116,0.07736780738876678
Mom15_H5_T19,15,5,0.8,500,-0.000889200027099692,-0.001312400027099692,0.408,-1.7946207626689241,0.0733192696361997
Mom15_H20_T5,15,20,0.95,476,-0.006122888079430461,-0.0065485183315312995,0.4852941176470588,-1.8009921971055625,0.07233824351392167
Mom10_H3_T19,10,3,0.8,500,-0.0005670819057262706,-0.0009778819057262706,0.466,-1.8244639908190186,0.06867977335262641
Mom10_H2_T19,10,2,0.8,499,-0.00022658481816104805,-0.0006400116718684629,0.45691382765531063,-1.8311966217085447,0.0676684659868347
Mom15_H10_T30,15,10,0.7,500,-0.001995668319286095,-0.0024342683192860944,0.448,-1.8903580797675419,0.059289263041835204
Mom1_H2_T30,1,2,0.7,500,-0.0001626133614848894,-0.0005600133614848895,0.43,-1.8976035003583689,0.0583252632346507
Mom10_H5_T5,10,5,0.95,467,-0.0026854398059542217,-0.0030922920543482264,0.5032119914346895,-1.9081527081394016,0.05698571773872972
Mom30_H15_T30,30,15,0.7,500,-0.0032612687876265637,-0.0036850687876265643,0.478,-1.9136249562571035,0.05623992535970653
