strategy,mean_return,n,t_stat,significant,hypothesis,law,regime
Downtrend5_20pct_H10,1.29988307973306,59088,1.7738755647569562,False,REVERSAL,INERTIA,
Uptrend5_20pct_H20,1.086754077205349,75872,2.3874374449556117,False,INERTIA,INERTIA,
Downtrend5_20pct_H20,3.243744220956966,57778,2.327747064198818,False,REVERSAL,INERTIA,
Uptrend5_20pct_H40,1.2789439182483853,73416,2.8210816808865253,False,INERTIA,INERTIA,
Downtrend5_20pct_H40,3.500649946747187,53485,3.386306095709982,True,REVERSAL,INERTIA,
Uptrend5_30pct_H1,-0.003518031139691133,38312,-3.212476002275739,True,REVERSAL,INERTIA,
Downtrend5_30pct_H1,0.024086863919624283,20453,2.978724243170391,False,REVERSAL,INERTIA,
Uptrend5_30pct_H5,0.4346435086887243,38071,0.9928830735300944,False,INERTIA,INERTIA,
Downtrend5_30pct_H5,3.1451940078465914,20118,1.0124114024453321,False,REVERSAL,INERTIA,
Uptrend5_30pct_H10,0.43489028938435514,37617,0.981577287288512,False,INERTIA,INERTIA,
Downtrend5_30pct_H10,3.795323467916875,19959,1.749535893022435,False,REVERSAL,INERTIA,
Uptrend5_30pct_H20,2.2181373547035363,36810,2.364229667375786,False,INERTIA,INERTIA,
Downtrend5_30pct_H20,7.940713820241264,19524,1.9994995441536714,False,REVERSAL,INERTIA,
Uptrend5_30pct_H40,2.5835247897673197,35691,2.77059529931379,False,INERTIA,INERTIA,
Downtrend5_30pct_H40,8.925702994207446,18204,3.068857685191936,True,REVERSAL,INERTIA,
Uptrend5_50pct_H1,-0.007213656460620585,14580,-2.9039201684724896,False,REVERSAL,INERTIA,
Downtrend5_50pct_H1,0.054293665829756456,4408,1.5105233630193995,False,REVERSAL,INERTIA,
Uptrend5_50pct_H5,1.1330475490360068,14479,0.984375215642039,False,INERTIA,INERTIA,
Downtrend5_50pct_H5,0.05445937880711202,4325,1.4886890829851047,False,REVERSAL,INERTIA,
