strategy,fast,slow,signal,hold,n_tickers,avg_net,win_rate,t_stat,p_value
MACD12_26_9_H10,12,26,9,10,996,0.004156746839443551,0.607429718875502,4.423656762945693,1.0773762121746368e-05
MACD12_30_9_H15,12,30,9,15,994,0.00614076255747766,0.6177062374245473,4.40482377459984,1.1736281238871512e-05
MACD12_26_7_H15,12,26,7,15,996,0.006000348605256148,0.6485943775100401,4.402095139551115,1.1879596363934292e-05
MACD12_26_11_H3,12,26,11,3,992,0.002015414894445745,0.5675403225806451,4.379935530157928,1.3134008903962779e-05
MACD16_30_7_H3,16,30,7,3,994,0.001941742153716196,0.5734406438631791,4.354845770529448,1.4697339789679068e-05
MACD12_21_11_H10,12,21,11,10,994,0.004095478158441804,0.596579476861167,4.346246581637748,1.5273959886518134e-05
MACD20_21_9_H15,20,21,9,15,993,0.006304970658283124,0.6022155085599195,4.345304548392966,1.5339920024671993e-05
MACD20_30_7_H3,20,30,7,3,991,0.0019947646429668044,0.574167507568113,4.344087488929329,1.54266095745947e-05
MACD16_26_7_H15,16,26,7,15,995,0.005869412861314744,0.6120603015075377,4.344068832458619,1.5421882885163094e-05
MACD8_26_7_H5,8,26,7,5,998,0.0023478963712355977,0.6052104208416834,4.342153698368083,1.5549919830497973e-05
MACD16_26_7_H5,16,26,7,5,995,0.0026066167187469924,0.6030150753768844,4.316752476203801,1.7418602489903414e-05
MACD12_30_11_H15,12,30,11,15,993,0.006161434897378859,0.6012084592145015,4.313582499183698,1.7669030160659075e-05
MACD16_30_9_H3,16,30,9,3,991,0.0021011592705464308,0.5802219979818365,4.306724022778052,1.8218629449679246e-05
MACD12_35_9_H15,12,35,9,15,992,0.006171636518966286,0.6139112903225806,4.306097569067145,1.8267590328758956e-05
MACD12_26_9_H15,12,26,9,15,996,0.005839040903436836,0.6244979919678715,4.303288249210563,1.8489600250691263e-05
MACD8_21_11_H5,8,21,11,5,998,0.0026458198344994615,0.6022044088176353,4.301699154722802,1.8616808509280545e-05
MACD12_26_11_H15,12,26,11,15,992,0.0059092101273165,0.6058467741935484,4.298454479176422,1.8896907608906664e-05
