ticker,pattern,gross,net
DDM,GapUp_2pct,0.03584959798380017,0.03554959798380017
CCLDO,GapUp_2pct,0.00278074693051206,0.00178074693051206
NBTX,GapUp_2pct,0.033680627277613694,0.03318062727761369
NFXL,GapUp_2pct,0.08004024073323311,0.07974024073323312
CRPT,GapUp_2pct,0.010762445998829516,0.010262445998829516
TXS,GapUp_2pct,0.01390524308493598,0.012905243084935979
RANGU,GapUp_2pct,0.0028615978467643557,0.0023615978467643557
BY,GapUp_2pct,-0.01611948965228762,-0.016419489652287622
TIC,GapUp_2pct,-0.006860645809813537,-0.006960645809813537
FWD,GapUp_2pct,0.013409909450605974,0.012909909450605973
FTDR,GapUp_2pct,0.03375747665308819,0.03345747665308819
DTRE,GapUp_2pct,0.002719571513299379,0.0017195715132993792
BHM,GapUp_2pct,-0.007826185564886831,-0.008826185564886832
DISO,GapUp_2pct,0.00155059650403373,0.00105059650403373
BKU,GapUp_2pct,0.018902887923813946,0.018602887923813944
MBCN,GapUp_2pct,-0.012432301008967143,-0.012932301008967143
APUS,GapUp_2pct,0.0024897050334519604,0.0021897050334519605
TKO,GapUp_2pct,0.023556005090018498,0.023456005090018498
BLDP,GapUp_2pct,-0.02853198965481896,-0.02863198965481896
AZTA,GapUp_2pct,0.0019121215328417457,0.0016121215328417458
BPH,GapUp_2pct,-0.0019427318152098814,-0.0029427318152098814
PVLA,GapUp_2pct,0.06698391931709637,0.06648391931709637
CX,GapUp_2pct,0.010667432069572854,0.010567432069572854
PENG,GapUp_2pct,0.002679486847286736,0.002379486847286736
WSBC,GapUp_2pct,-0.004874300052534998,-0.005174300052534998
WIT,GapUp_2pct,-0.002780341325912844,-0.002880341325912844
PRKS,GapUp_2pct,-0.003925850700659539,-0.004225850700659539
PGRE,GapUp_2pct,0.021317114613173406,0.021217114613173407
HPQ,GapUp_2pct,0.014490906273943593,0.014390906273943594
OBT,GapUp_2pct,-0.0074047507013490855,-0.007904750701349085
BNO,GapUp_2pct,-0.006954936386730125,-0.0072549363867301245
QRVO,GapUp_2pct,0.014434134785476357,0.014334134785476358
B,GapUp_2pct,0.007900527010065878,0.007800527010065878
CVR,GapUp_2pct,0.00793111525641551,0.006931115256415509
TVTX,GapUp_2pct,0.03689424747422045,0.03679424747422045
JBI,GapUp_2pct,0.011441360082749963,0.011341360082749963
FEAT,GapUp_2pct,-0.019962832206030325,-0.020462832206030325
TWAV,GapUp_2pct,-0.015905291506487697,-0.0162052915064877
QTRX,GapUp_2pct,-0.02594938444048747,-0.02624938444048747
DVXY,GapUp_2pct,0.013271978625690049,0.012271978625690048
KVHI,GapUp_2pct,0.0004828115948208282,-1.7188405179171802e-05
TPOR,GapUp_2pct,0.011997619127275398,0.011497619127275397
PSNL,GapUp_2pct,0.015417485644365105,0.015117485644365105
SMAP,GapUp_2pct,0.012692028934918147,0.011692028934918147
CELU,GapUp_2pct,0.04803235768310929,0.04773235768310929
PRCT,GapUp_2pct,-0.002931876734277899,-0.0032318767342778987
ACB,GapUp_2pct,0.006913101268812231,0.0068131012688122305
PRVA,GapUp_2pct,-0.0008656002689193948,-0.0011656002689193947
MTN,GapUp_2pct,-0.008598876928157499,-0.008898876928157499
GIPR,GapUp_2pct,-0.005392431427199841,-0.005692431427199841
UHS,GapUp_2pct,0.018281410383917094,0.017981410383917092
RCT,GapUp_2pct,0.042900422071308335,0.04280042207130833
WTIU,GapUp_2pct,0.01443280714485168,0.01393280714485168
CZR,GapUp_2pct,-0.012281463667517806,-0.012381463667517805
PYPL,GapUp_2pct,-0.0003894722104026909,-0.000489472210402691
ADI,GapUp_2pct,0.0029308256501216962,0.0028308256501216964
MBOT,GapUp_2pct,0.036896346832223266,0.03679634683222326
AGQ,GapUp_2pct,0.01813725039762023,0.01803725039762023
EH,GapUp_2pct,-0.005227926842464242,-0.005327926842464243
