category,strategy,mean,n,t,significant
ADX14,ADX14_Weak40_H10,0.03579937676457954,2837423,2.39055825294242,False
ADX14,ADX14_Bullish_H10,0.004536381586117783,2234426,29.178949891943663,True
ADX14,ADX14_Strong40_H20,0.2703311955474043,1149953,3.4834408890955566,True
ADX14,ADX14_Weak40_H20,0.03621517438505786,2770240,2.8323004753256047,False
ADX14,ADX14_Bullish_H20,0.009848331969037864,2190311,50.15616364236489,True
ADX21,ADX21_Strong20_H1,0.02468437307208284,2613628,1.0322640113473656,False
ADX21,ADX21_Weak20_H1,0.0007706573455849257,1356723,13.110495228008872,True
ADX21,ADX21_Bullish_H1,0.00045727296253468834,2283554,10.778406115096441,True
ADX21,ADX21_Strong20_H5,0.055663067566264504,2590649,1.978614486280869,False
ADX21,ADX21_Weak20_H5,0.003503723616466302,1341948,28.40050288850396,True
ADX21,ADX21_Bullish_H5,0.0022891977159878846,2261668,24.533126690041083,True
ADX21,ADX21_Strong20_H10,0.09216436288083958,2562631,3.2041814721110358,True
ADX21,ADX21_Weak20_H10,0.006498015587490729,1322775,40.724978720441094,True
ADX21,ADX21_Bullish_H10,0.004987034852706758,2234331,35.604314547960946,True
ADX21,ADX21_Strong20_H20,0.15679301450526217,2506420,4.09303519483055,True
ADX21,ADX21_Weak20_H20,0.011112834185514486,1284607,51.21356224939776,True
ADX21,ADX21_Bullish_H20,0.009962438458269416,2195884,50.94955954656242,True
ADX21,ADX21_Strong25_H1,0.03253124464775922,1969732,1.0252571570374631,False
ADX21,ADX21_Weak25_H1,0.0007415219217021138,2000620,16.826935715788743,True
ADX21,ADX21_Bullish_H1,0.00045727296253468834,2283554,10.778406115096441,True
ADX21,ADX21_Strong25_H5,0.07279119338614415,1952698,1.9502933098806945,False
ADX21,ADX21_Weak25_H5,0.0034172942157389527,1979900,34.30348902837179,True
ADX21,ADX21_Bullish_H5,0.0022891977159878846,2261668,24.533126690041083,True
ADX21,ADX21_Strong25_H10,0.12004148783114567,1931772,3.1459851170224504,True
ADX21,ADX21_Weak25_H10,0.006595934050398608,1953635,47.132116885906285,True
ADX21,ADX21_Bullish_H10,0.004987034852706758,2234331,35.604314547960946,True
ADX21,ADX21_Strong25_H20,0.2038855952133048,1890537,4.014564308700352,True
ADX21,ADX21_Weak25_H20,0.01147677651883384,1900491,58.90889587207028,True
ADX21,ADX21_Bullish_H20,0.009962438458269416,2195884,50.94955954656242,True
ADX21,ADX21_Strong30_H1,0.044827323071334496,1419474,1.0181116323070838,False
ADX21,ADX21_Weak30_H1,0.0007566483305576698,2550878,18.658439432212678,True
ADX21,ADX21_Bullish_H1,0.00045727296253468834,2283554,10.778406115096441,True
ADX21,ADX21_Strong30_H5,0.09968955089412658,1407181,1.9248026069930049,False
ADX21,ADX21_Weak30_H5,0.003414832736031541,2525417,38.318811395182905,True
ADX21,ADX21_Bullish_H5,0.0022891977159878846,2261668,24.533126690041083,True
ADX21,ADX21_Strong30_H10,0.16401067168747016,1391663,3.096540651132038,True
ADX21,ADX21_Weak30_H10,0.006629088333244555,2493744,53.49296556454324,True
ADX21,ADX21_Bullish_H10,0.004987034852706758,2234331,35.604314547960946,True
ADX21,ADX21_Strong30_H20,0.2786786963266481,1361603,3.95204925571918,True
ADX21,ADX21_Weak30_H20,0.011449220719461533,2429425,67.35507062765967,True
ADX21,ADX21_Bullish_H20,0.009962438458269416,2195884,50.94955954656242,True
ADX21,ADX21_Strong40_H1,0.0957546848798592,658683,1.0091642276143173,False
ADX21,ADX21_Weak40_H1,0.0007516916904423276,3311669,20.70777885328986,True
ADX21,ADX21_Bullish_H1,0.00045727296253468834,2283554,10.778406115096441,True
ADX21,ADX21_Strong40_H5,0.21083558079912967,652941,1.8888857485724189,False
ADX21,ADX21_Weak40_H5,0.003427774184286338,3279657,42.33499315633484,True
ADX21,ADX21_Bullish_H5,0.0022891977159878846,2261668,24.533126690041083,True
ADX21,ADX21_Strong40_H10,0.34618543910997385,645325,3.0308259643934097,True
ADX21,ADX21_Weak40_H10,0.006597584306648583,3240082,57.5433029127233,True
ADX21,ADX21_Bullish_H10,0.004987034852706758,2234331,35.604314547960946,True
ADX21,ADX21_Strong40_H20,0.5879170777858668,630396,3.860138539305565,True
ADX21,ADX21_Weak40_H20,0.011593946347734063,3160632,67.97235705835855,True
ADX21,ADX21_Bullish_H20,0.009962438458269416,2195884,50.94955954656242,True
COMBO,COMBO_RSI30_MACDup_H5,0.014352660353531688,1307,1.7441521096776338,False
COMBO,COMBO_RSI30_WillR80_H5,0.011815079796433887,344000,20.128297239229422,True
COMBO,COMBO_StrongTrend_Pullback_H5,0.00877972738147727,720020,24.991535957684263,True
COMBO,COMBO_LowVol_MACDpos_H5,0.000829059125441685,863922,29.985877457137146,True
COMBO,COMBO_CCI100_RSI30_H5,0.0124819084624657,253971,17.144025424391064,True
COMBO,COMBO_MACD_ADX_BestMo_H5,0.004986994264447033,507255,37.77601821684267,True
COMBO,COMBO_Triple_Oversold_H5,0.010087279603944736,458082,19.72984394388289,True
COMBO,COMBO_RSI30_MACDup_H10,0.026109658727119654,1296,2.3354426209551424,False
COMBO,COMBO_RSI30_WillR80_H10,0.019185006473194793,342451,25.889227833202966,True
COMBO,COMBO_StrongTrend_Pullback_H10,0.015111126868624982,716178,33.716969144571756,True
COMBO,COMBO_LowVol_MACDpos_H10,0.0021096763969268278,854736,30.82667319817304,True
COMBO,COMBO_CCI100_RSI30_H10,0.02011050328817158,252969,22.620080867187458,True
COMBO,COMBO_MACD_ADX_BestMo_H10,0.0124354231494331,507255,54.11813762574106,True
