date,vxx,vxx_ret,contango_ratio,spy_vol,signal_ts,signal_always_short,signal_bh,signal_random,ret_ts,ret_always_short,ret_bh,ret_random,cumret_ts,cumret_always_short,cumret_bh,cumret_random
2025-04-17 04:00:00+00:00,71.33999633789062,-0.027535499668137953,0.9898819817564832,0.4822615100043666,0,-1,1,1,-0.027535499668137953,0.027535499668137953,-0.027535499668137953,0.027535499668137953,1.8201685885070875,0.36054780767824335,0.040299618544062756,0.3919551382540335
2025-04-21 04:00:00+00:00,76.5199966430664,0.0726100444502622,0.9411590837056478,0.4408325571078056,1,-1,1,-1,0.0,-0.0726100444502622,0.0726100444502622,0.0726100444502622,1.8201685885070875,0.33436841533628153,0.04322577563787576,0.42041501826516753
2025-04-22 04:00:00+00:00,70.94000244140625,-0.07292203928978824,0.963362808535638,0.44930604206908437,0,-1,1,1,-0.07292203928978824,0.07292203928978824,-0.07292203928978824,0.07292203928978824,1.6874381831819352,0.35875124205669806,0.04007366392847901,0.4510725387451171
2025-04-23 04:00:00+00:00,68.37999725341797,-0.03608690583430341,0.9848857541776967,0.4461240090873609,0,-1,1,-1,-0.0,0.03608690583430341,-0.03608690583430341,-0.03608690583430341,1.6874381831819352,0.3716974643467375,0.03862752939185647,0.4347947265149819
2025-04-24 04:00:00+00:00,65.86000061035156,-0.036852833347261416,0.9988666875679996,0.2513449466531421,0,-1,1,-1,-0.0,0.036852833347261416,-0.036852833347261416,0.036852833347261416,1.6874381831819352,0.3853955690559075,0.037203995488561944,0.45081814411150667
2025-04-25 04:00:00+00:00,63.34000015258789,-0.03826298867916489,1.0213365814569164,0.19169728958224821,0,-1,1,-1,-0.0,0.03826298867916489,-0.03826298867916489,0.03826298867916489,1.6874381831819352,0.40014195535169395,0.0357804594303634,0.4680677936560073
2025-04-28 04:00:00+00:00,63.68000030517578,0.0053678584112539784,1.023061627534925,0.18297903461862391,0,-1,1,1,0.0,-0.0053678584112539784,0.0053678584112539784,-0.0053678584112539784,1.6874381831819352,0.3979940499909637,0.035972523870475205,0.46555527201279384
2025-04-29 04:00:00+00:00,63.02000045776367,-0.01036431916220426,1.0434422521202384,0.18137851710512617,0,-1,1,1,-0.0,0.01036431916220426,-0.01036431916220426,-0.01036431916220426,1.6874381831819352,0.40211898734972834,0.035599693152011586,0.46073010858600644
2025-04-30 04:00:00+00:00,64.63999938964844,0.02570610790411676,1.034008102293189,0.18073780993320085,0,-1,1,-1,0.0,-0.02570610790411676,0.02570610790411676,0.02570610790411676,1.6874381831819352,0.3917820732706221,0.03651482270553064,0.47257368647199377
2025-05-01 04:00:00+00:00,63.41999816894531,-0.0188737814390898,1.0361788364165572,0.15797152161310948,0,-1,1,-1,-0.0,0.0188737814390898,-0.0188737814390898,0.0188737814390898,1.6874381831819352,0.3991764824932853,0.03582564992249934,0.48149293894433115
2025-05-02 04:00:00+00:00,61.0099983215332,-0.03800062940702209,1.058201043962199,0.1632034051261693,-1,-1,1,1,-0.0,0.03800062940702209,-0.03800062940702209,0.03800062940702209,1.6874381831819352,0.4143454400725113,0.03446425267652874,0.4997899736792526
2025-05-05 04:00:00+00:00,62.130001068115234,0.01835769181109348,1.0384940723733935,0.13245124139098996,0,-1,1,1,-0.01835769181109348,-0.01835769181109348,0.01835769181109348,0.01835769181109348,1.6564607130648097,0.4067390141803282,0.03509693680566411,0.5089649639863308
2025-05-06 04:00:00+00:00,64.55000305175781,0.038950618735535736,1.0262520037367393,0.11380297329873006,0,-1,1,1,0.0,-0.038950618735535736,0.038950618735535736,0.038950618735535736,1.6564607130648097,0.39089627791412257,0.03646398420996672,0.5287894642483081
2025-05-07 04:00:00+00:00,62.83000183105469,-0.026646028495521334,1.0488323381373683,0.1039005979531924,0,-1,1,-1,-0.0,0.026646028495521334,-0.026646028495521334,-0.026646028495521334,1.6564607130648097,0.40131211127421557,0.03549236384764771,0.5146993251158162
2025-05-08 04:00:00+00:00,60.43999862670898,-0.038039203162404056,1.056939533483557,0.07947693475256203,-1,-1,1,1,-0.0,0.038039203162404056,-0.038039203162404056,0.038039203162404056,1.6564607130648097,0.4165777042065088,0.03414226260853307,0.534278077311449
2025-05-09 04:00:00+00:00,59.95000076293945,-0.008107178605278653,1.0675798889505026,0.07728755008718263,-1,-1,1,-1,0.008107178605278653,0.008107178605278653,-0.008107178605278653,-0.008107178605278653,1.6698899359182533,0.4199549740574879,0.03386546518757737,0.5299465895138002
2025-05-12 04:00:00+00:00,52.16999816894531,-0.12977485396136423,1.0995106027429309,0.13665194743195677,-1,-1,1,1,0.12977485396136423,0.12977485396136423,-0.12977485396136423,0.12977485396136423,1.8865996584835962,0.47445456948614684,0.02947057938852585,0.5987203307752766
2025-05-13 04:00:00+00:00,51.81999969482422,-0.006708807483329249,1.1026345175470325,0.13675740839009026,-1,-1,1,-1,0.006708807483329249,0.006708807483329249,-0.006708807483329249,-0.006708807483329249,1.8992564923904773,0.4776375938524153,0.02927286694498606,0.5947036313397501
2025-05-14 04:00:00+00:00,52.93999862670898,0.021613256242388967,1.1052631039813288,0.1365800964258988,-1,-1,1,1,-0.021613256242388967,-0.021613256242388967,0.021613256242388967,-0.021613256242388967,1.8582073751504211,0.4673142901454849,0.0299055489192174,0.5818501493673249
