strategy,period,threshold,hold,direction,n_tickers,avg_gross,avg_net,win_rate,t_stat,p_value
RSI7_OV20_H3,7,20,3,oversold,991,0.007066522600841952,0.006656633599832871,0.739656912209889,7.324124969739606,4.977789387571302e-13
RSI7_OV35_H3,7,35,3,oversold,1000,0.004250150231247149,0.0038366502312471495,0.748,7.321237697635967,5.048443341204393e-13
RSI30_OV30_H5,30,30,5,oversold,617,0.013355047708835477,0.012994755974637744,0.6645056726094003,7.292223373662387,9.406272119300374e-13
RSI14_OV20_H15,14,20,15,oversold,783,0.0350946737147709,0.03471446937249759,0.719029374201788,7.213256752570936,1.2920663525710253e-12
RSI7_OV25_H3,7,25,3,oversold,998,0.006137258481949785,0.005724432830647178,0.749498997995992,7.19577354306483,1.21978934719121e-12
RSI14_OV20_H5,14,20,5,oversold,783,0.01718082517599029,0.01680062083371698,0.719029374201788,7.015927753890897,4.952278374727662e-12
RSI30_OV30_H3,30,30,3,oversold,617,0.008778311049440117,0.008418019315242387,0.6434359805510534,7.012165800556247,6.190093761282626e-12
RSI20_OV30_H20,20,30,20,oversold,907,0.02217547104777274,0.021782086262767224,0.6416758544652701,7.006566436716344,4.763813048261968e-12
RSI7_OV30_H3,7,30,3,oversold,999,0.005193419224578416,0.004780005811165002,0.7547547547547547,6.982159630258127,5.29791302427365e-12
RSI20_OV25_H10,20,25,10,oversold,691,0.026169169920953517,0.025796666303008507,0.6772793053545586,6.900427389556273,1.1755154679118142e-11
RSI20_OV25_H5,20,25,5,oversold,691,0.016612139646930413,0.01623963602898541,0.6859623733719248,6.524835931480233,1.3178056774331637e-10
RSI7_OV35_H1,7,35,1,oversold,1000,0.0016842022625916404,0.0012707022625916403,0.647,6.077947655900416,1.7296278189035106e-09
RSI25_OV25_H3,25,25,3,oversold,467,0.009723618007764438,0.00936858588785009,0.6338329764453962,5.973500159821399,4.613781291640751e-09
RSI7_OV30_H1,7,30,1,oversold,999,0.0019843406238396373,0.001570927210426224,0.6556556556556556,5.935405073259248,4.040310629281497e-09
