date,contango_ratio,term_structure,vix_percentile,contango_percentile,vix_5d_change,vix_20d_change,vix,vix3m
2018-08-24 04:00:00+00:00,1.2360300231633896,CONTANGO,,,-0.06765162587756024,-0.08890578190424703,11.989999771118164,14.81999969482422
2018-08-24 05:00:00+00:00,,BACKWARDATION,,,-0.021224508480149895,-0.08890578190424703,,
2018-08-27 04:00:00+00:00,1.2162829068620946,CONTANGO,,,-0.007346951231664511,-0.17726657191436834,12.15999984741211,14.789999961853027
2018-08-27 05:00:00+00:00,,BACKWARDATION,,,-0.020145044566792114,-0.17726657191436834,,
2018-08-28 04:00:00+00:00,1.2087999725341796,CONTANGO,,,0.007252228339604594,-0.06085652848086276,12.5,15.109999656677246
2018-08-28 05:00:00+00:00,,BACKWARDATION,,,0.04253546610654135,-0.06085652848086276,,
2018-08-29 04:00:00+00:00,1.2204081476951132,CONTANGO,,,0.021684756784410508,-0.16325138574281683,12.25,14.949999809265137
2018-08-29 05:00:00+00:00,,BACKWARDATION,,,0.007401328430694409,-0.16325138574281683,,
2018-08-30 04:00:00+00:00,1.1485587781634374,CONTANGO,,,0.11266446568670352,0.005947949802270314,13.529999732971191,15.539999961853027
2018-08-30 05:00:00+00:00,,BACKWARDATION,,,0.08239997863769521,0.005947949802270314,,
2018-08-31 04:00:00+00:00,1.1780715414454928,CONTANGO,,,0.028799972534179652,0.017405008495170682,12.859999656677246,15.149999618530272
2018-08-31 05:00:00+00:00,,BACKWARDATION,,,0.04979589034099963,0.017405008495170682,,
2018-09-04 04:00:00+00:00,1.1740121571736455,CONTANGO,,,0.07428570182955996,0.05364292142288507,13.15999984741211,15.449999809265137
2018-09-04 05:00:00+00:00,,BACKWARDATION,,,-0.027346629184140436,0.05364292142288507,,
2018-09-05 04:00:00+00:00,1.144500377493231,CONTANGO,,,0.028085744415419223,0.08164853956194906,13.90999984741211,15.920000076293944
2018-09-05 05:00:00+00:00,,BACKWARDATION,,,0.08164853956194906,0.08164853956194906,,
2018-09-06 04:00:00+00:00,1.1153584012329936,CONTANGO,,,0.1391912915739162,0.19591833620655286,14.649999618530272,16.34000015258789
2018-09-06 05:00:00+00:00,,BACKWARDATION,,,0.11322186841903092,0.19591833620655286,,
2018-09-07 04:00:00+00:00,1.1149193565185145,CONTANGO,,,0.13069910995227274,0.19903306183713476,14.880000114440918,16.59000015258789
2018-09-07 05:00:00+00:00,,BACKWARDATION,,,0.06973402427529662,0.19903306183713476,,
2018-09-10 04:00:00+00:00,1.1419491702359859,CONTANGO,,,0.01797268172123756,0.18098416327922706,14.15999984741211,16.170000076293945
2018-09-10 05:00:00+00:00,,BACKWARDATION,,,-0.03344708422370046,0.18098416327922706,,
2018-09-11 04:00:00+00:00,1.1754916526446968,CONTANGO,,,-0.09761087977727367,0.08717108823338426,13.220000267028809,15.539999961853027
2018-09-11 05:00:00+00:00,,BACKWARDATION,,,-0.11155912867239115,0.08717108823338426,,
2018-09-12 04:00:00+00:00,1.1659055779712562,CONTANGO,,,-0.11693546758978235,0.05120002746582042,13.140000343322754,15.31999969482422
2018-09-12 05:00:00+00:00,,BACKWARDATION,,,-0.07203386405938217,0.05120002746582042,,
2018-09-13 04:00:00+00:00,1.19401783301602,CONTANGO,,,-0.1264124280467538,0.009795909025231087,12.369999885559082,14.770000457763672
2018-09-13 05:00:00+00:00,,BACKWARDATION,,,-0.06429654798038542,0.009795909025231087,,
2018-09-14 04:00:00+00:00,1.1905551158979013,CONTANGO,,,-0.08698945151103621,-0.10790835675991206,12.06999969482422,14.369999885559082
2018-09-14 05:00:00+00:00,,BACKWARDATION,,,-0.08143079303968714,-0.10790835675991206,,
2018-09-17 04:00:00+00:00,1.1169590198905228,CONTANGO,,,0.04109588643408468,0.06376366021695556,13.68000030517578,15.279999732971191
2018-09-17 05:00:00+00:00,,BACKWARDATION,,,0.10590140919451518,0.06376366021695556,,
2018-09-18 04:00:00+00:00,1.175918686998496,CONTANGO,,,0.03395311885041008,-0.028115493149632687,12.789999961853027,15.039999961853027
2018-09-18 05:00:00+00:00,,BACKWARDATION,,,0.059652053457594834,-0.028115493149632687,,
2018-09-19 04:00:00+00:00,1.246808478172789,CONTANGO,,,-0.026511988642505147,-0.15528395910183757,11.75,14.649999618530272
2018-09-19 05:00:00+00:00,,BACKWARDATION,,,-0.14108189050592135,-0.15528395910183757,,
2018-09-20 04:00:00+00:00,1.2296610164697128,CONTANGO,,,-0.13742690588461648,-0.19453921515400885,11.800000190734863,14.510000228881836
2018-09-20 05:00:00+00:00,,BACKWARDATION,,,-0.077404204383964,-0.19453921515400885,,
2018-09-21 04:00:00+00:00,1.2482876320855227,CONTANGO,,,-0.08678652540953014,-0.21505374896869556,11.68000030517578,14.579999923706056
2018-09-21 05:00:00+00:00,,BACKWARDATION,,,-0.005957420836103844,-0.21505374896869556,,
2018-09-24 04:00:00+00:00,1.2106557941539295,CONTANGO,,,0.038297856107671224,-0.13841808328163108,12.199999809265137,14.770000457763672
2018-09-24 05:00:00+00:00,,BACKWARDATION,,,0.03389827220887209,-0.13841808328163108,,
2018-09-25 04:00:00+00:00,1.2012882435300263,CONTANGO,,,0.05254236233367959,-0.06051438536881848,12.420000076293944,14.920000076293944
2018-09-25 05:00:00+00:00,,BACKWARDATION,,,0.06335614313214077,-0.06051438536881848,,
2018-09-26 04:00:00+00:00,1.1753296520568548,CONTANGO,,,0.10359589097020705,-0.019025874693149536,12.890000343322754,15.149999618530272
2018-09-26 05:00:00+00:00,,BACKWARDATION,,,0.056557421708613775,-0.019025874693149536,,
2018-09-27 04:00:00+00:00,1.1998388820631456,CONTANGO,,,0.017213118150009477,0.0032336266954799964,12.40999984741211,14.890000343322754
2018-09-27 05:00:00+00:00,,BACKWARDATION,,,-0.0008051714026090506,0.0032336266954799964,,
2018-09-28 04:00:00+00:00,1.2186469139626026,CONTANGO,,,-0.024154604580677197,0.004142517978380944,12.119999885559082,14.770000457763672
2018-09-28 05:00:00+00:00,,BACKWARDATION,,,-0.05973626355739747,0.004142517978380944,,
2018-10-01 04:00:00+00:00,1.228333314259847,CONTANGO,,,-0.06904579671200628,-0.12280703711243024,12.0,14.739999771118164
2018-10-01 05:00:00+00:00,,BACKWARDATION,,,-0.033037860793979634,-0.12280703711243024,,
2018-10-02 04:00:00+00:00,1.2315352628789362,CONTANGO,,,-0.02900883651117192,-0.05785768360635335,12.050000190734863,14.84000015258789
2018-10-02 05:00:00+00:00,,BACKWARDATION,,,-0.005775552432770503,-0.05785768360635335,,
2018-10-03 04:00:00+00:00,1.264427281591941,CONTANGO,,,-0.042079227202757585,-0.011914922835979058,11.609999656677246,14.68000030517578
2018-10-03 05:00:00+00:00,,BACKWARDATION,,,-0.03250002861022949,-0.011914922835979058,,
2018-10-04 04:00:00+00:00,1.113924040445716,CONTANGO,,,0.18500002225240064,0.20508474891331652,14.220000267028809,15.84000015258789
2018-10-04 05:00:00+00:00,,BACKWARDATION,,,0.18008299103284986,0.20508474891331652,,
2018-10-05 04:00:00+00:00,1.0964912506492963,CONTANGO,,,0.2298754738791775,0.26883555715807717,14.81999969482422,16.25
2018-10-05 05:00:00+00:00,,BACKWARDATION,,,0.2764857995754384,0.26883555715807717,,
2018-10-08 04:00:00+00:00,1.0522626303651248,CONTANGO,,,0.35142119245107195,0.28606555948203605,15.6899995803833,16.510000228881836
2018-10-08 05:00:00+00:00,,BACKWARDATION,,,0.10337547719762741,0.28606555948203605,,
2018-10-09 04:00:00+00:00,1.0426331886917304,CONTANGO,,,0.12165959984175179,0.2842189783644933,15.949999809265137,16.6299991607666
2018-10-09 05:00:00+00:00,,BACKWARDATION,,,0.07624832238259494,0.2842189783644933,,
2018-10-10 04:00:00+00:00,0.9015680134298616,BACKWARDATION,,,0.5492577299101613,0.7812256379315257,22.959999084472656,20.700000762939453
2018-10-10 05:00:00+00:00,,BACKWARDATION,,,0.4633524345774236,0.7812256379315257,,
