symbol,category,volatility,ma_crosses_per_year,efficiency_ratio,pct_time_extreme,gaps_per_year,return_3m,dollar_volume,beta
RKLB,space_defense,0.8352432120371783,24.095617529880478,0.7990321868813556,30.677290836653388,71.78486055776892,0.3328292732269895,1165517291.8729546,2.1689006846831083
ASTS,space_defense,1.288235849248903,28.111553784860558,0.5328237482165736,28.884462151394423,90.3585657370518,0.38394155828018683,840594883.0752734,2.2324165008668335
LUNR,space_defense,1.2344438653875558,23.09163346613546,0.18624883525389974,30.278884462151396,91.86454183266932,0.4420849493710306,147028485.1493256,2.4281816353787073
SPCE,space_defense,0.9204826977468449,19.577689243027887,0.04425220894909028,27.88844621513944,60.7410358565737,-0.06666666666666665,8958829.208167331,1.7250351384792255
BKSY,space_defense,0.9346887642464369,26.103585657370516,0.03744111785524389,28.286852589641438,82.82868525896414,-0.12619158420320575,19492704.191733066,2.507435284616352
RDW,space_defense,0.9764527242800127,28.111553784860558,0.07691548988935726,30.0796812749004,78.31075697211155,-0.13232106634438956,19127265.338645417,2.483956313145811
MU,semiconductors,0.5762183193688052,27.10756972111554,0.18093319546427453,28.286852589641438,64.75697211155378,0.5989815966039518,6089051087.771789,2.2135736301116773
AVGO,semiconductors,0.5348883524420595,25.60159362549801,0.18815308819692095,21.91235059760956,49.69721115537848,0.0041894816189533834,9742531343.48908,2.045695239353349
MRVL,semiconductors,0.6296566513469237,33.633466135458164,0.033866928413225146,20.916334661354583,65.7609561752988,0.12765577590046195,1327046728.7949216,2.4406348950693526
QCOM,semiconductors,0.38330490122425076,35.1394422310757,0.036208705247630604,16.93227091633466,25.0996015936255,0.03902237747851722,1544330544.2729082,1.6204990161011128
TXN,semiconductors,0.34259439246863116,28.111553784860558,0.018297301740752624,28.68525896414343,21.58565737051793,-0.022942622555007897,1131528629.7512343,1.3317497438151848
AMAT,semiconductors,0.4407798061292057,29.617529880478088,0.06728661913304174,23.705179282868528,44.17529880478088,0.27899947497659916,1767553319.4936259,1.8111118422608392
LRCX,semiconductors,0.4616720414531782,28.111553784860558,0.12643252081176395,22.90836653386454,49.19521912350598,0.310500791589867,1981838054.5698066,2.0148500548805455
KLAC,semiconductors,0.43166293391385147,31.185628742514968,0.13043517295331497,23.952095808383234,38.73053892215569,0.16477013247717354,1289901027.3380485,1.8632236126250599
CRM,software,0.3405257233855266,29.115537848605577,0.0014895773574416225,27.88844621513944,18.071713147410357,0.06448126771887042,1836248022.1036508,1.1237128451663276
NOW,software,0.37298565687317997,31.625498007968126,0.01511618962171744,21.91235059760956,22.589641434262948,-0.16290275410563038,1129813096.243809,1.3339148997654573
ADBE,software,0.33758041263525296,18.071713147410357,0.05930144332461704,31.274900398406373,12.047808764940239,-0.01636357302147562,1286943109.622545,0.9589919424736217
PANW,software,0.39450761145758073,25.60159362549801,0.029610582056413377,27.091633466135455,23.593625498007967,-0.0805411813883764,1274950191.5908632,1.2057599613967103
FTNT,software,0.402719957407746,36.645418326693225,0.051394345838438514,23.306772908366533,18.573705179282868,-0.05898908147436732,439386779.7284951,1.0973893011916898
WDAY,software,0.33639816536266,30.621513944223107,0.02690099721904752,23.50597609561753,14.055776892430279,-0.0902546678610241,551983622.3756342,0.9556922133425058
ZM,software,0.3204786216550818,27.10756972111554,0.04128665982112941,28.286852589641438,10.0398406374502,0.08767253212928461,276085065.0061862,0.8557001974450712
DOCN,software,0.5925444224192025,41.16334661354582,0.023258480684902612,18.52589641434263,40.159362549800804,0.28571432994778934,75628421.50941066,2.0150190789864313
AAPL,quality,0.2800604897200009,24.59760956175299,0.07184385682072222,28.087649402390436,14.055776892430279,0.07666277508413888,15289338305.221643,1.1738663392054471
MSFT,quality,0.2220443968829636,24.095617529880478,0.06749488080372358,28.286852589641438,11.54581673306773,-0.04398906124467339,10426142284.128105,0.9714174734172442
GOOGL,quality,0.3028101399006957,25.60159362549801,0.17799322859607655,29.880478087649404,19.07569721115538,0.22133400121308022,9809176560.798328,1.0966527694331138
