ticker,data_days,rsi10_signals,rsi10_wr,rsi15_signals,rsi15_wr,rsi20_signals,rsi20_wr,vol_spike_signals,vol_spike_wr,down3_signals,down3_wr,combo_signals,combo_wr,deep_drop_signals,deep_drop_wr,gap_fade_signals,gap_fade_wr,score,edges_65plus,edges_55plus
CVX,250,0,0.0,0,0.0,1,100.0,5,0.0,3,33.33333333333333,0,0.0,2,0.0,0,0.0,207.94415416798358,0,0
XLK,250,0,0.0,0,0.0,1,100.0,3,33.33333333333333,0,0.0,0,0.0,0,0.0,0,0.0,207.94415416798358,0,0
GOOGL,250,0,0.0,1,0.0,3,0.0,3,33.33333333333333,2,50.0,0,0.0,0,0.0,2,50.0,206.64125413950822,0,0
RIVN,250,0,0.0,2,0.0,5,0.0,0,0.0,16,12.5,0,0.0,26,23.076923076923077,1,0.0,205.2382978627923,0,0
LOW,250,8,12.5,1,0.0,0,0.0,4,50.0,1,0.0,0,0.0,0,0.0,0,0.0,203.10376508266575,0,0
WMT,250,0,0.0,0,0.0,0,0.0,3,66.66666666666666,4,25.0,0,0.0,0,0.0,0,0.0,198.9833578282678,1,1
AMZN,250,0,0.0,0,0.0,8,12.5,4,25.0,0,0.0,0,0.0,0,0.0,4,50.0,195.75643177138926,0,0
AXP,250,0,0.0,2,0.0,2,50.0,2,50.0,3,0.0,2,0.0,0,0.0,0,0.0,192.25715051691918,0,0
HALO,250,1,0.0,1,0.0,2,0.0,9,11.11111111111111,6,16.666666666666664,0,0.0,18,16.666666666666664,2,0.0,185.1721379151649,0,0
ABBV,250,0,0.0,0,0.0,4,25.0,6,0.0,3,0.0,0,0.0,0,0.0,1,100.0,149.78661367769956,0,0
F,250,0,0.0,0,0.0,0,0.0,3,66.66666666666666,2,0.0,0,0.0,0,0.0,0,0.0,138.62943611198904,1,1
INTU,250,0,0.0,4,0.0,3,0.0,0,0.0,3,66.66666666666666,2,0.0,0,0.0,3,0.0,138.62943611198904,1,1
MSFT,250,0,0.0,0,0.0,1,0.0,4,25.0,0,0.0,0,0.0,0,0.0,2,50.0,115.28453614968424,0,0
JPM,250,0,0.0,2,0.0,2,50.0,3,0.0,2,0.0,2,0.0,0,0.0,0,0.0,109.86122886681096,0,0
GLD,250,0,0.0,0,0.0,0,0.0,7,28.57142857142857,0,0.0,0,0.0,0,0.0,0,0.0,89.1189232148501,0,0
EOG,250,0,0.0,0,0.0,5,0.0,7,0.0,2,50.0,0,0.0,0,0.0,0,0.0,82.39592165010822,0,0
QQQ,250,0,0.0,0,0.0,2,0.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,82.39592165010822,0,0
TGT,250,0,0.0,4,0.0,7,0.0,3,0.0,1,0.0,1,0.0,4,25.0,0,0.0,80.47189562170502,0,0
ZS,250,0,0.0,2,0.0,5,20.0,3,0.0,4,0.0,1,0.0,8,0.0,0,0.0,71.6703787691222,0,0
POST,250,0,0.0,0,0.0,0,0.0,4,25.0,0,0.0,0,0.0,0,0.0,0,0.0,60.35392171627876,0,0
PFE,250,0,0.0,2,0.0,4,0.0,5,20.0,2,0.0,0,0.0,0,0.0,0,0.0,53.75278407684165,0,0
GILD,249,0,0.0,0,0.0,4,0.0,4,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0.0,0,0
JNJ,250,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0
MCD,250,0,0.0,3,0.0,7,0.0,2,0.0,0,0.0,3,0.0,0,0.0,0,0.0,0.0,0,0
XOM,250,0,0.0,0,0.0,1,0.0,2,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0
TLT,250,0,0.0,0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0
LMT,250,0,0.0,2,0.0,4,0.0,1,0.0,2,0.0,2,0.0,0,0.0,0,0.0,0.0,0,0
XLV,250,0,0.0,0,0.0,1,0.0,3,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0
