ticker,rsi_threshold,hold_days,vol_multiplier,num_trades,win_rate,avg_win,avg_loss,expected_value,sharpe,score
TSLA_365,20,11,1.0,5,80.0,13.170093007552808,-11.202034061220514,8.295667593798145,0.773868260331981,2.3949045909047846
LCID_365,14,5,1.0,6,100.0,12.378474028842495,0.0,12.378474028842495,2.133114618021547,5.297824442636188
QS_365,34,10,1.0,6,100.0,7.556940409817667,0.0,7.556940409817667,1.7324864268670463,3.052619924264432
CHPT_365,24,11,1.0,13,61.53846153846154,24.247305024248423,-13.760957373316675,9.628742563646462,0.4623625177104952,6.837438721404992
ENPH_365,30,3,1.0,15,86.66666666666667,7.5203224326974825,-4.753934737713322,5.8837548099760415,0.9410078107327924,5.2433149923756455
RUN_365,34,4,1.0,6,50.0,7.5212589206200215,-5.639497793194697,0.9408805637126623,0.11338505998240676,0.2886650770629691
PLUG_365,34,7,1.5,10,60.0,8.67346582192055,-9.815784304099122,1.2777657715126822,0.10486950936928215,0.6522827527110808
FCEL_365,34,11,1.0,13,61.53846153846154,17.109084732902367,-9.540057038315608,6.859414820895453,0.41583609552572137,4.82943062955466
BLDP_365,34,9,1.0,17,88.23529411764706,8.161471465894351,-3.1029060635530588,6.836250580077009,1.2673514889583093,7.283681492829417
FLNC_365,22,2,1.0,7,85.71428571428571,7.057708657758776,-11.26436828228234,4.4402690948957595,0.6465253999633298,1.7550464558900765
STEM_365,34,10,1.5,5,100.0,33.405673132865246,0.0,33.405673132865246,7.1599514472781225,20.310568167964234
AMSC_365,32,2,1.0,9,44.44444444444444,14.74266094911017,-5.993325837869845,3.222668289676828,0.2436001139900181,1.5208545429991287
NXT_365,34,11,1.0,9,100.0,13.220323683497815,0.0,13.220323683497815,1.9688116854632935,8.291695155405005
ARRY_365,32,11,1.0,21,90.47619047619048,29.007104846731725,-7.286887193355054,25.550534176247268,1.1391945093434364,31.37193982512181
SHLS_365,32,9,1.0,14,85.71428571428571,24.165940200536127,-5.268811557123781,19.960975663727567,1.0971600833100894,17.038736965712538
BE_365,34,11,1.0,10,70.0,14.42624719435648,-6.4429846370798325,8.165477644925586,0.8158068204951449,4.748884057995886
ENOV_365,30,11,1.0,20,80.0,6.7066448773665766,-2.640309822689809,4.837253937355299,0.9748387177059292,5.780362422457178
SOFI_365,34,10,1.0,7,100.0,16.955865003172097,0.0,16.955865003172097,1.6986236881035308,7.950667127377398
UPST_365,30,11,1.0,10,70.0,18.46171695669676,-5.828196987908032,11.174742773315321,0.6883422390687155,6.356576132817742
AFRM_365,34,9,1.0,14,71.42857142857143,12.808768930315074,-8.824850203395977,6.627734892111915,0.4322873548853843,5.040526462433308
HOOD_365,34,9,1.0,12,100.0,18.9820134352249,0.0,18.9820134352249,2.3839672885526206,16.81950795318804
MQ_365,34,1,1.0,18,55.55555555555556,2.5928231427366564,-1.3917352010966773,0.8219083232551747,0.33381930612775607,0.7891038868401978
NU_365,34,11,1.0,14,78.57142857142857,11.606814568823507,-4.102380995738694,8.24055837641732,0.9044776758595979,6.811867015824344
ALKT_365,24,9,1.5,6,83.33333333333334,12.340942833272162,-11.03806427738578,8.444441648162508,0.8436563918727574,2.960784924784882
APP_365,24,8,1.0,6,100.0,24.854016092924912,0.0,24.854016092924912,4.312940340687138,13.887838145993264
DUOL_365,14,1,1.0,6,66.66666666666666,2.505724794997374,-2.46346932759912,0.849326754131876,0.3220117478466511,0.27120761779501845
PATH_365,24,9,1.0,8,37.5,22.88199542577337,-6.096064954943127,4.770707687825559,0.2710745555044525,2.011740472403743
